"Timestamp","Email ID","Branch of Visit","Date of Visit","Time of Visit","Gender","Age Group","How often do you visit our store?","Which of the following categories do you usually shop for?","How satisfied are you with the overall cleanliness of our store?","How would you rate the availability of products you need?","How satisfied are you with the behaviour of our staff?","How would you rate the prices of our products compared to other stores?","Have you used our online shopping platform?","Would you recommend our store to others?","How would you rate our store's return policy?","How satisfied are you with the variety of products available?","How likely are you to visit our store again?","",""
"2024/08/02 11:00:21 PM GMT+5:30","wwilliams@example.org","Lucknow","2023-04-30","04:06 PM","Female","65 and above","Daily","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Stationery","4","3","1","3","No","No","2","2","3","",""
"2024/08/02 11:00:56 PM GMT+5:30","rfox@example.net","Delhi","2023-07-09","11:12 AM","Male","Under 18","Bi-weekly","Groceries;Home & Kitchen","2","3","2","4","No","No","2","3","1","",""
"2024/08/02 11:31:41 PM GMT+5:30","ricejoshua@example.com","Kolkata","2023-06-28","08:28 AM","Female","25-34","Monthly","Home & Kitchen","4","4","1","1","Yes","No","5","1","4","4","No"
"2024/08/02 11:55:59 PM GMT+5:30","xrobinson@example.com","Ahmedabad","2023-07-23","02:14 PM","Female","25-34","Occasioanlly","Groceries;Toys & Games","2","1","3","2","Yes","No","2","2","1","3","No"
"2024/08/03 12:22:56 AM GMT+5:30","jamesgarcia@example.org","Pune","2023-08-03","04:29 PM","Male","25-34","Monthly","Home & Kitchen","1","3","1","5","No","No","1","5","3","",""
"2024/08/03 12:23:25 AM GMT+5:30","hodgesjoseph@example.com","Ahmedabad","2023-05-07","06:35 PM","Female","25-34","Bi-weekly","Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","2","2","2","4","No","No","3","2","3","",""
"2024/08/03 12:23:50 AM GMT+5:30","kmccarthy@example.com","Ludhiana","2023-10-24","06:05 PM","Male","65 and above","Bi-weekly","Groceries;Hygiene & Sanitation;Toys & Games","4","2","4","1","Yes","Yes","5","5","5","",""
"2024/08/03 12:26:25 AM GMT+5:30","anthonythompson@example.org","Mumbai","2023-02-05","03:23 PM","Female","25-34","Bi-weekly","Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","4","5","5","5","No","Yes","2","2","2","",""
"2024/08/03 12:45:29 AM GMT+5:30","cynthialopez@example.org","Kolkata","2023-01-16","04:00 PM","Male","Under 18","Daily","Electronics","3","2","5","4","Yes","No","2","4","5","",""
"2024/08/03 12:45:57 AM GMT+5:30","ryan06@example.com","Jaipur","2023-02-25","10:22 AM","Male","55-64","Weekly","Clothing","2","3","4","5","No","No","2","1","3","",""
"2024/08/03 12:46:27 AM GMT+5:30","jason66@example.org","Mumbai","2023-08-06","01:38 PM","Female","55-64","Weekly","Electronics;Hygiene & Sanitation","3","3","1","3","No","Yes","1","5","1","",""
"2024/08/03 12:46:54 AM GMT+5:30","brandon46@example.net","Kolkata","2023-09-01","01:08 PM","Male","25-34","Occasioanlly","Electronics;Home & Kitchen;Toys & Games;Stationery","4","3","4","4","No","Yes","4","4","5","",""
"2024/08/03 12:47:21 AM GMT+5:30","alexiscrane@example.net","Mumbai","2023-09-02","11:13 AM","Male","18-24","Daily","Groceries;Clothing;Home & Kitchen","3","5","5","3","Yes","Yes","1","3","2","",""
"2024/08/03 12:47:49 AM GMT+5:30","jonescasey@example.com","Trivandrum","2023-05-23","02:57 PM","Female","25-34","Occasioanlly","Groceries;Electronics;Toys & Games","4","3","1","3","No","Yes","5","1","1","",""
"2024/08/03 12:48:14 AM GMT+5:30","daniel04@example.com","Lucknow","2023-12-26","11:44 AM","Female","35-44","Daily","Clothing;Electronics;Toys & Games","3","2","2","2","Yes","No","5","1","4","",""
"2024/08/03 12:48:41 AM GMT+5:30","lreynolds@example.com","Ludhiana","2023-06-16","10:58 AM","Female","65 and above","Daily","Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","5","5","1","3","No","Yes","5","4","4","",""
"2024/08/03 12:49:06 AM GMT+5:30","michael63@example.com","Mumbai","2023-03-01","12:42 PM","Male","65 and above","Bi-weekly","Groceries;Clothing;Home & Kitchen;Toys & Games","1","1","4","4","No","Yes","5","4","2","",""
"2024/08/03 12:49:37 AM GMT+5:30","uhill@example.org","Chennai","2023-04-10","09:47 AM","Male","55-64","Weekly","Hygiene & Sanitation;Stationery","3","1","5","5","No","No","4","1","2","",""
"2024/08/03 12:50:04 AM GMT+5:30","grace83@example.org","Ahmedabad","2023-02-06","12:50 PM","Female","18-24","Monthly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","2","3","1","5","No","No","1","5","4","",""
"2024/08/03 12:50:32 AM GMT+5:30","ochoajeremy@example.org","Kanpur","2023-12-20","01:43 PM","Male","45-54","Bi-weekly","Clothing;Electronics;Hygiene & Sanitation","1","3","2","2","Yes","No","5","2","4","",""
"2024/08/03 12:50:56 AM GMT+5:30","jeffreyanthony@example.org","Delhi","2023-09-12","08:54 AM","Male","35-44","Monthly","Clothing;Home & Kitchen;Stationery","4","4","2","3","Yes","No","2","5","3","",""
"2024/08/03 12:51:27 AM GMT+5:30","henry60@example.com","Ahmedabad","2023-11-05","07:00 PM","Female","18-24","Occasioanlly","Clothing;Electronics;Hygiene & Sanitation;Stationery","4","2","1","3","Yes","Yes","2","5","4","",""
"2024/08/03 12:51:58 AM GMT+5:30","jamesshawn@example.net","Bangalore","2023-08-30","08:02 PM","Male","18-24","Occasioanlly","Groceries;Electronics;Hygiene & Sanitation;Stationery","3","4","2","2","No","Yes","1","1","3","",""
"2024/08/03 12:52:23 AM GMT+5:30","christinesmith@example.net","Bangalore","2023-04-19","09:37 AM","Female","35-44","Weekly","Groceries;Electronics;Stationery","2","2","4","3","Yes","No","2","4","4","",""
"2024/08/03 12:52:47 AM GMT+5:30","fredericksonia@example.com","Kolkata","2023-08-17","04:39 PM","Male","65 and above","Bi-weekly","Groceries;Electronics;Home & Kitchen;Hygiene & Sanitation","4","2","3","3","No","No","4","4","2","",""
"2024/08/03 12:53:13 AM GMT+5:30","michael16@example.net","Chennai","2023-04-05","09:53 AM","Female","35-44","Daily","Groceries;Home & Kitchen;Hygiene & Sanitation","5","2","4","5","No","Yes","4","4","5","",""
"2024/08/03 12:53:35 AM GMT+5:30","mercermatthew@example.net","Surat","2023-03-31","11:29 AM","Male","55-64","Monthly","Groceries;Electronics;Toys & Games","5","3","3","5","No","No","3","1","3","",""
"2024/08/03 12:53:57 AM GMT+5:30","donna61@example.net","Ahmedabad","2023-10-16","09:09 AM","Male","45-54","Bi-weekly","Clothing;Hygiene & Sanitation;Stationery","4","1","3","4","Yes","Yes","1","3","1","",""
"2024/08/03 12:55:50 AM GMT+5:30","keith18@example.net","Mumbai","2023-12-14","08:48 PM","Female","55-64","Occasioanlly","Groceries;Home & Kitchen;Toys & Games;Stationery","1","4","2","2","No","No","5","1","2","",""
"2024/08/03 12:56:13 AM GMT+5:30","sandy64@example.net","Kanpur","2023-07-24","04:39 PM","Female","25-34","Monthly","Groceries;Clothing;Electronics;Toys & Games","4","4","5","4","Yes","Yes","3","5","3","",""
"2024/08/03 12:56:42 AM GMT+5:30","julie96@example.net","Mumbai","2023-01-07","11:25 AM","Male","25-34","Monthly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","3","1","4","1","No","Yes","5","4","5","",""
"2024/08/03 12:57:08 AM GMT+5:30","florestodd@example.com","Bangalore","2023-12-08","06:08 PM","Female","18-24","Daily","Groceries;Home & Kitchen;Hygiene & Sanitation","1","1","2","3","Yes","Yes","4","1","5","",""
"2024/08/03 12:57:34 AM GMT+5:30","sosborne@example.org","Ludhiana","2023-07-28","06:10 PM","Male","Under 18","Weekly","Clothing;Electronics;Hygiene & Sanitation;Toys & Games;Stationery","3","3","5","2","Yes","No","5","4","5","",""
"2024/08/03 12:57:59 AM GMT+5:30","michael31@example.net","Trivandrum","2023-11-18","11:26 AM","Female","Under 18","Bi-weekly","Groceries;Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation","5","3","1","4","Yes","No","1","5","4","",""
"2024/08/03 12:58:27 AM GMT+5:30","turnermichael@example.org","Pune","2023-06-05","09:29 AM","Female","35-44","Weekly","Groceries;Electronics;Home & Kitchen;Hygiene & Sanitation","1","4","4","5","Yes","No","4","1","1","",""
"2024/08/03 12:58:51 AM GMT+5:30","newmanroberto@example.net","Kolkata","2023-06-03","02:29 PM","Female","Under 18","Daily","Electronics;Hygiene & Sanitation","2","2","4","1","Yes","No","3","3","2","",""
"2024/08/03 12:59:17 AM GMT+5:30","sara41@example.com","Trivandrum","2023-09-23","02:27 PM","Female","65 and above","Monthly","Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","5","1","1","1","No","No","5","2","5","",""
"2024/08/03 12:59:41 AM GMT+5:30","krivas@example.com","Jaipur","2023-03-14","11:30 AM","Male","35-44","Daily","Home & Kitchen;Stationery","5","4","5","3","Yes","No","4","1","5","",""
"2024/08/03 1:00:03 AM GMT+5:30","richardrivera@example.net","Mumbai","2023-03-07","05:52 PM","Female","35-44","Bi-weekly","Home & Kitchen","1","2","5","1","No","Yes","5","4","4","",""
"2024/08/03 1:00:26 AM GMT+5:30","ucruz@example.net","Ludhiana","2023-07-27","05:45 PM","Male","65 and above","Daily","Groceries;Clothing;Toys & Games;Stationery","4","2","5","3","No","No","5","3","3","",""
"2024/08/03 1:00:52 AM GMT+5:30","nvaldez@example.com","Kanpur","2023-05-16","03:12 PM","Male","18-24","Daily","Groceries","3","3","4","1","No","No","2","3","1","",""
"2024/08/03 1:01:16 AM GMT+5:30","sydney36@example.com","Hyderabad","2023-01-30","05:16 PM","Male","18-24","Bi-weekly","Groceries;Clothing","1","3","3","5","No","Yes","5","3","3","",""
"2024/08/03 1:01:40 AM GMT+5:30","hardingbradley@example.com","Chennai","2023-05-17","08:59 AM","Female","25-34","Occasioanlly","Groceries;Home & Kitchen","4","3","1","5","Yes","Yes","2","4","4","",""
"2024/08/03 1:02:04 AM GMT+5:30","hschroeder@example.net","Kolkata","2023-11-13","06:49 PM","Female","25-34","Daily","Groceries;Hygiene & Sanitation","1","5","1","4","No","No","2","3","5","",""
"2024/08/03 1:02:30 AM GMT+5:30","catherinehanna@example.net","Kolkata","2023-08-09","03:58 PM","Male","55-64","Bi-weekly","Groceries;Electronics;Toys & Games","3","2","3","4","No","Yes","3","3","4","",""
"2024/08/03 1:02:52 AM GMT+5:30","jamesbenson@example.com","Trivandrum","2023-06-05","09:42 AM","Female","55-64","Monthly","Home & Kitchen","1","5","4","1","Yes","No","3","3","1","",""
"2024/08/03 1:03:18 AM GMT+5:30","hancockmelissa@example.net","Kanpur","2023-12-23","11:53 AM","Male","35-44","Monthly","Groceries;Clothing;Electronics;Toys & Games;Stationery","4","1","2","5","No","Yes","5","4","3","",""
"2024/08/03 1:03:40 AM GMT+5:30","steven34@example.net","Dehradun","2023-05-12","09:36 AM","Male","45-54","Weekly","Groceries","2","3","4","4","Yes","Yes","1","5","2","",""
"2024/08/03 1:08:09 AM GMT+5:30","sextonashley@example.com","Trivandrum","2023-02-03","07:38 PM","Male","Under 18","Occasioanlly","Toys & Games","3","1","2","2","No","Yes","3","5","5","",""
"2024/08/03 1:08:34 AM GMT+5:30","samantha52@example.com","Lucknow","2023-05-31","10:06 AM","Female","35-44","Monthly","Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","1","3","1","3","No","No","2","5","1","",""
"2024/08/03 1:09:02 AM GMT+5:30","rasmussenallison@example.com","Jaipur","2023-02-18","09:08 AM","Female","35-44","Monthly","Electronics;Hygiene & Sanitation;Toys & Games;Stationery","3","4","4","1","Yes","Yes","1","3","3","",""
"2024/08/03 1:09:26 AM GMT+5:30","kimberlymitchell@example.com","Dehradun","2023-02-17","07:51 PM","Female","18-24","Weekly","Groceries;Clothing;Electronics;Home & Kitchen","5","4","2","4","Yes","Yes","3","4","4","",""
"2024/08/03 1:09:47 AM GMT+5:30","kristi00@example.com","Surat","2023-03-20","08:51 AM","Male","45-54","Occasioanlly","Hygiene & Sanitation","2","3","5","5","Yes","Yes","5","3","2","",""
"2024/08/03 1:10:11 AM GMT+5:30","hwaters@example.org","Lucknow","2023-08-12","11:36 AM","Female","Under 18","Bi-weekly","Clothing;Toys & Games","4","3","1","1","Yes","No","4","5","2","",""
"2024/08/03 1:10:36 AM GMT+5:30","james54@example.net","Dehradun","2023-10-08","11:55 AM","Female","55-64","Bi-weekly","Groceries;Toys & Games;Stationery","3","2","3","3","No","Yes","3","3","1","",""
"2024/08/03 1:10:59 AM GMT+5:30","ericjones@example.net","Ludhiana","2023-07-05","09:52 AM","Male","45-54","Monthly","Clothing;Electronics;Home & Kitchen;Stationery","5","4","2","1","Yes","Yes","5","4","5","",""
"2024/08/03 1:11:23 AM GMT+5:30","dhodge@example.org","Delhi","2023-11-16","07:20 PM","Female","Under 18","Occasioanlly","Hygiene & Sanitation;Stationery","4","4","1","1","No","No","5","1","1","",""
"2024/08/03 1:11:45 AM GMT+5:30","stevenhill@example.net","Trivandrum","2023-05-26","08:10 PM","Male","Under 18","Bi-weekly","Stationery","3","1","5","2","No","No","1","1","2","",""
"2024/08/03 1:12:07 AM GMT+5:30","dgarcia@example.net","Chennai","2023-01-13","08:51 AM","Female","55-64","Occasioanlly","Stationery","4","2","4","1","No","No","1","1","3","",""
"2024/08/03 1:12:29 AM GMT+5:30","bryan21@example.com","Jaipur","2023-03-10","04:11 PM","Female","25-34","Occasioanlly","Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","5","5","2","5","Yes","Yes","4","3","4","",""
"2024/08/03 1:12:55 AM GMT+5:30","kleon@example.org","Surat","2023-08-12","10:03 AM","Female","65 and above","Bi-weekly","Hygiene & Sanitation","5","3","5","2","Yes","Yes","5","3","4","",""
"2024/08/03 1:13:19 AM GMT+5:30","lauren51@example.net","Ahmedabad","2023-04-09","09:03 AM","Male","18-24","Occasioanlly","Clothing;Hygiene & Sanitation;Toys & Games;Stationery","3","1","4","3","No","Yes","2","5","2","",""
"2024/08/03 1:13:47 AM GMT+5:30","harry24@example.org","Hyderabad","2023-04-09","09:05 AM","Female","65 and above","Bi-weekly","Groceries;Home & Kitchen;Hygiene & Sanitation;Toys & Games","4","3","5","1","Yes","Yes","2","1","1","",""
"2024/08/03 1:14:10 AM GMT+5:30","christina52@example.net","Mumbai","2023-09-20","01:10 PM","Male","18-24","Weekly","Home & Kitchen;Stationery","1","2","1","2","Yes","No","1","2","5","",""
"2024/08/03 1:14:32 AM GMT+5:30","bcohen@example.org","Kolkata","2023-12-06","08:37 PM","Male","25-34","Weekly","Toys & Games","4","4","4","3","Yes","No","2","4","1","",""
"2024/08/03 1:14:56 AM GMT+5:30","georgealvarado@example.net","Jaipur","2023-07-28","11:55 AM","Female","35-44","Monthly","Groceries;Clothing;Electronics;Home & Kitchen;Toys & Games","5","4","2","1","Yes","Yes","1","2","1","",""
"2024/08/03 1:15:21 AM GMT+5:30","rebecca22@example.net","Ahmedabad","2023-09-04","12:19 PM","Male","Under 18","Occasioanlly","Groceries;Electronics;Home & Kitchen","2","4","3","3","Yes","Yes","3","2","1","",""
"2024/08/03 1:15:45 AM GMT+5:30","franklinbradley@example.com","Trivandrum","2023-09-27","08:08 PM","Male","25-34","Monthly","Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","3","5","5","3","No","Yes","3","1","1","",""
"2024/08/03 1:16:09 AM GMT+5:30","jessicachavez@example.org","Surat","2023-10-07","04:59 PM","Male","25-34","Bi-weekly","Clothing;Electronics;Hygiene & Sanitation;Toys & Games","4","5","3","1","Yes","No","1","2","3","",""
"2024/08/03 1:16:32 AM GMT+5:30","samueldunn@example.net","Kanpur","2023-01-03","02:56 PM","Male","45-54","Occasioanlly","Clothing;Hygiene & Sanitation","1","5","1","1","Yes","Yes","4","3","5","",""
"2024/08/03 1:16:56 AM GMT+5:30","bradyflynn@example.com","Hyderabad","2023-04-26","10:26 AM","Female","18-24","Monthly","Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","3","2","1","3","Yes","Yes","5","3","3","",""
"2024/08/03 1:17:20 AM GMT+5:30","qdunn@example.org","Trivandrum","2023-08-21","01:14 PM","Female","25-34","Bi-weekly","Clothing;Toys & Games;Stationery","4","5","1","5","No","Yes","1","3","5","",""
"2024/08/03 1:17:48 AM GMT+5:30","lucasmatthew@example.net","Lucknow","2023-08-31","10:50 AM","Female","55-64","Bi-weekly","Groceries;Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","4","4","3","5","No","Yes","5","4","2","",""
"2024/08/03 1:18:14 AM GMT+5:30","pmartinez@example.org","Jaipur","2023-07-30","07:44 PM","Male","25-34","Weekly","Electronics;Home & Kitchen;Stationery","3","1","1","3","Yes","Yes","1","1","5","",""
"2024/08/03 1:18:39 AM GMT+5:30","umunoz@example.org","Surat","2023-08-08","12:03 PM","Female","55-64","Occasioanlly","Clothing;Home & Kitchen;Stationery","3","1","2","1","No","Yes","1","5","3","",""
"2024/08/03 1:19:05 AM GMT+5:30","marshallkenneth@example.com","Trivandrum","2023-05-26","08:30 AM","Male","55-64","Daily","Clothing;Electronics;Stationery","5","5","5","4","No","Yes","2","5","1","",""
"2024/08/03 1:19:27 AM GMT+5:30","tracysmith@example.net","Chennai","2023-12-17","06:37 PM","Male","25-34","Weekly","Clothing","5","1","2","4","No","No","5","2","1","",""
"2024/08/03 1:19:50 AM GMT+5:30","diana40@example.com","Ludhiana","2023-04-05","12:03 PM","Female","65 and above","Occasioanlly","Groceries;Clothing;Electronics;Home & Kitchen;Toys & Games;Stationery","2","1","5","1","No","Yes","2","1","5","",""
"2024/08/03 1:20:12 AM GMT+5:30","stephanie32@example.com","Lucknow","2023-02-27","11:38 AM","Male","18-24","Bi-weekly","Stationery","3","5","2","3","Yes","Yes","5","5","3","",""
"2024/08/03 1:20:39 AM GMT+5:30","nicoleanderson@example.com","Kanpur","2023-04-05","06:21 PM","Female","65 and above","Weekly","Groceries;Home & Kitchen;Stationery","2","5","4","2","Yes","No","3","2","5","",""
"2024/08/03 1:21:04 AM GMT+5:30","wardlaurie@example.com","Bangalore","2023-06-25","04:37 PM","Female","65 and above","Occasioanlly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Stationery","4","4","1","4","Yes","No","1","1","1","",""
"2024/08/03 1:21:27 AM GMT+5:30","raymondmills@example.net","Pune","2023-06-05","02:21 PM","Male","18-24","Weekly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation","4","3","3","5","Yes","No","3","3","2","",""
"2024/08/03 1:21:51 AM GMT+5:30","franciscowilson@example.net","Kanpur","2023-04-26","08:54 PM","Female","65 and above","Weekly","Electronics;Home & Kitchen;Toys & Games;Stationery","1","3","4","5","No","Yes","2","5","5","",""
"2024/08/03 1:22:17 AM GMT+5:30","hickmanjulie@example.org","Bangalore","2023-02-15","06:36 PM","Male","45-54","Monthly","Groceries;Hygiene & Sanitation;Stationery","1","1","2","2","Yes","Yes","1","2","5","",""
"2024/08/03 1:22:40 AM GMT+5:30","williamsgregory@example.com","Ahmedabad","2023-04-23","08:44 AM","Female","65 and above","Weekly","Groceries;Toys & Games","3","5","2","4","No","Yes","5","4","5","",""
"2024/08/03 1:23:08 AM GMT+5:30","gday@example.net","Kanpur","2023-11-15","04:19 PM","Male","35-44","Bi-weekly","Groceries;Electronics;Hygiene & Sanitation;Stationery","1","3","4","5","No","Yes","3","3","4","",""
"2024/08/03 1:23:32 AM GMT+5:30","paynemarvin@example.net","Chennai","2023-03-30","11:54 AM","Male","Under 18","Occasioanlly","Clothing;Hygiene & Sanitation","1","4","1","3","No","No","3","4","5","",""
"2024/08/03 1:23:53 AM GMT+5:30","liujohnny@example.org","Ahmedabad","2023-11-30","01:38 PM","Male","45-54","Monthly","Clothing;Toys & Games;Stationery","5","3","3","1","Yes","No","2","4","5","",""
"2024/08/03 1:24:16 AM GMT+5:30","karen56@example.org","Delhi","2023-12-26","09:56 AM","Female","45-54","Bi-weekly","Groceries;Electronics","1","3","4","5","No","Yes","2","2","4","",""
"2024/08/03 1:24:39 AM GMT+5:30","bwalters@example.com","Jaipur","2023-02-26","11:11 AM","Female","55-64","Weekly","Groceries;Clothing;Hygiene & Sanitation;Stationery","2","1","3","2","Yes","No","1","2","5","",""
"2024/08/03 1:25:01 AM GMT+5:30","ikirby@example.net","Chennai","2023-11-04","10:51 AM","Female","55-64","Monthly","Clothing;Home & Kitchen;Stationery","2","3","1","1","Yes","Yes","4","3","2","",""
"2024/08/03 1:25:23 AM GMT+5:30","david73@example.com","Bangalore","2023-06-22","12:18 PM","Male","65 and above","Bi-weekly","Clothing;Toys & Games;Stationery","1","5","2","1","No","No","2","1","3","",""
"2024/08/03 1:25:49 AM GMT+5:30","dawn73@example.net","Mumbai","2023-11-13","11:22 AM","Male","55-64","Daily","Groceries;Clothing;Electronics;Hygiene & Sanitation;Toys & Games","4","3","1","4","Yes","No","1","4","2","",""
"2024/08/03 1:26:11 AM GMT+5:30","johnsonbob@example.net","Ahmedabad","2023-05-26","08:58 AM","Female","18-24","Monthly","Home & Kitchen","5","1","1","3","Yes","Yes","4","2","1","",""
"2024/08/03 1:26:38 AM GMT+5:30","rcarroll@example.net","Ahmedabad","2023-02-04","02:25 PM","Female","18-24","Bi-weekly","Groceries;Clothing;Electronics;Hygiene & Sanitation;Stationery","3","4","4","1","Yes","Yes","5","3","5","",""
"2024/08/03 1:27:05 AM GMT+5:30","martinezgeoffrey@example.org","Kolkata","2023-10-24","03:58 PM","Female","Under 18","Daily","Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","1","2","5","4","Yes","No","5","2","1","",""
"2024/08/03 1:27:27 AM GMT+5:30","williamskristen@example.com","Kanpur","2023-09-02","01:30 PM","Male","18-24","Occasioanlly","Home & Kitchen","4","5","1","4","No","Yes","3","2","4","",""
"2024/08/03 1:27:51 AM GMT+5:30","sarah80@example.net","Trivandrum","2023-01-15","05:47 PM","Male","18-24","Occasioanlly","Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","1","4","2","4","No","Yes","2","3","1","",""
"2024/08/03 1:28:16 AM GMT+5:30","paulsamuel@example.net","Kanpur","2023-10-04","08:48 PM","Female","Under 18","Daily","Groceries;Electronics;Stationery","1","5","3","2","Yes","Yes","4","1","3","",""
"2024/08/03 1:28:40 AM GMT+5:30","tammy12@example.com","Jaipur","2023-11-14","06:53 PM","Male","55-64","Occasioanlly","Electronics;Stationery","4","2","2","1","No","Yes","5","5","3","",""
"2024/08/03 1:29:02 AM GMT+5:30","ualvarez@example.net","Mumbai","2023-08-09","08:09 AM","Male","18-24","Weekly","Electronics","5","4","1","1","Yes","No","3","2","3","",""
"2024/08/03 1:29:26 AM GMT+5:30","rodriguezrachael@example.net","Ludhiana","2023-02-18","03:47 PM","Male","35-44","Daily","Electronics;Toys & Games","3","1","5","5","Yes","No","2","1","2","",""
"2024/08/03 1:29:52 AM GMT+5:30","marcusgreen@example.com","Delhi","2023-09-14","11:47 AM","Male","55-64","Weekly","Electronics;Hygiene & Sanitation;Toys & Games","4","2","4","4","Yes","Yes","3","5","1","",""
"2024/08/03 1:30:20 AM GMT+5:30","mayoregina@example.com","Kanpur","2023-06-11","09:20 AM","Female","35-44","Bi-weekly","Groceries;Electronics;Home & Kitchen;Hygiene & Sanitation","3","3","5","5","No","No","3","5","5","",""
"2024/08/03 1:30:43 AM GMT+5:30","richardlinda@example.org","Chennai","2023-08-15","08:34 PM","Male","35-44","Daily","Groceries","4","5","5","5","Yes","No","5","4","4","",""
"2024/08/03 1:31:05 AM GMT+5:30","nicholas49@example.com","Ahmedabad","2023-04-28","09:44 AM","Male","25-34","Weekly","Electronics","5","2","3","3","Yes","No","5","1","1","",""
"2024/08/03 1:31:29 AM GMT+5:30","glenda29@example.org","Delhi","2023-09-15","03:14 PM","Male","35-44","Weekly","Groceries;Hygiene & Sanitation","2","1","1","5","No","No","5","5","2","",""
"2024/08/03 1:31:57 AM GMT+5:30","potterdarren@example.net","Lucknow","2023-05-14","08:27 AM","Male","35-44","Occasioanlly","Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","1","2","4","3","Yes","No","4","5","1","",""
"2024/08/03 1:32:19 AM GMT+5:30","shelia12@example.net","Mumbai","2023-05-19","12:12 PM","Female","Under 18","Occasioanlly","Hygiene & Sanitation","5","5","3","2","No","No","3","1","3","",""
"2024/08/03 1:32:45 AM GMT+5:30","linda42@example.com","Hyderabad","2023-03-03","05:59 PM","Female","35-44","Weekly","Clothing;Home & Kitchen;Toys & Games","2","3","5","3","Yes","No","5","4","4","",""
"2024/08/03 1:33:07 AM GMT+5:30","cassandra49@example.net","Delhi","2023-07-04","01:08 PM","Female","65 and above","Monthly","Toys & Games","3","4","5","5","Yes","No","1","5","5","",""
"2024/08/03 1:33:30 AM GMT+5:30","williamflores@example.com","Surat","2023-07-07","11:59 AM","Male","65 and above","Daily","Electronics;Home & Kitchen","3","1","1","5","Yes","Yes","1","5","3","",""
